ENTIDAD,MUN,LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_12YMAS,P_15YMAS,P_18YMAS,P_60YMAS,POB0_14,POB15_64,POB65_MAS,GRAPROES,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TOTHOG,POBHOG,VIVTOT,VIVPAR_HAB,OCUPVIVPAR,PROM_OCUP,VPH_C_ELEC,VPH_AGUADV,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_AUTOM,VPH_PC,VPH_CEL,VPH_INTER
09,2,0001,0010,000,3183,1695,1488,2879,2795,2684,816,388,2124,671,11.52,1582,1293,1532,50,603,2580,867,3183,894,860,3183,3.67,865,865,865,858,824,479,532,772,692
09,2,0001,0025,000,5593,2915,2678,4964,4770,4556,1293,822,3745,1025,10.73,2854,2099,2810,44,1034,4548,1760,5593,1851,1637,5593,3.18,1759,1759,1759,1730,1614,515,930,1510,1203
09,2,0001,003A,000,4235,2232,2003,3747,3590,3410,931,645,2841,749,10.55,2152,1587,2080,72,899,3336,1190,4235,1249,1179,4235,3.56,1184,1183,1184,1162,1070,422,641,1049,878
09,2,0001,0044,000,4768,2551,2217,4242,4076,3901,1132,692,3171,905,11.07,2432,1798,2356,76,855,3904,1389,4768,1440,1364,4768,3.43,1389,1389,1389,1371,1286,579,845,1237,1076
09,2,0001,0097,000,2176,1115,1061,1977,1898,1808,562,278,1428,470,11.74,1091,882,1058,33,387,1786,597,2176,616,590,2176,3.64,596,596,596,592,562,289,399,562,507
09,2,0001,010A,000,3346,1866,1480,3037,2921,2788,862,425,2212,709,11.8,1635,1397,1574,61,658,2687,912,3346,943,880,3346,3.67,910,910,910,903,859,446,646,824,768
09,2,0001,0114,000,9866,5107,4759,8454,8062,7675,1405,1804,7130,932,11.21,5460,2983,5349,111,2191,7673,3027,9866,3357,2973,9866,3.26,3025,3021,3025,2903,2517,990,1710,2791,2281
09,2,0001,0129,000,5703,2968,2735,4898,4700,4485,649,1003,4292,408,12.43,3268,1626,3161,107,904,4799,1831,5703,2091,1795,5703,3.11,1831,1830,1831,1790,1675,896,1298,1753,1535
09,2,0001,0133,000,7288,3796,3492,6212,5896,5562,1125,1391,5130,766,10.9,3825,2381,3708,117,1309,5976,1991,7288,2114,1965,7288,3.66,1991,1988,1991,1898,1661,762,1084,1852,1497
09,2,0001,0148,000,2513,1282,1231,2246,2147,2052,551,366,1740,407,13.26,1309,935,1270,39,498,2015,750,2501,822,739,2501,3.33,749,749,749,734,690,561,569,707,639
09,2,0001,0167,000,3049,1560,1489,2626,2507,2385,489,542,2182,325,11.18,1642,970,1609,33,723,2313,915,3049,986,902,3049,3.33,915,913,914,852,729,375,512,832,662
09,2,0001,0171,000,2313,1207,1106,2089,2009,1931,507,304,1622,387,11.82,1267,820,1238,29,423,1890,695,2313,734,695,2313,3.33,695,694,695,685,636,329,463,632,547
09,2,0001,0186,000,11139,5776,5363,9580,9148,8741,1553,1991,8114,1034,12.43,6399,3170,6252,147,2236,8899,3500,11119,3717,2795,11119,3.18,3495,3496,3496,3369,3046,1915,2433,3299,2878
09,2,0001,0190,000,8920,4720,4200,7646,7345,7010,1357,1575,6439,906,11.55,5109,2525,4975,134,2011,6903,2829,8920,3014,2649,8920,3.15,2823,2812,2824,2665,2324,1155,1716,2600,2079
09,2,0001,0203,000,5495,2813,2682,4750,4534,4306,960,961,3897,637,10.88,2893,1850,2779,114,1273,4221,1466,5495,1539,1400,5495,3.75,1463,1449,1463,1395,1220,558,807,1300,1074
09,2,0001,0218,000,4162,2170,1992,3682,3526,3377,822,636,2957,569,11.67,2324,1347,2270,54,942,3220,1276,4162,1365,1256,4162,3.26,1275,1275,1275,1223,1071,537,800,1167,1010
09,2,0001,0222,000,7064,3654,3410,6093,5870,5607,1048,1190,5190,680,11.59,3913,2179,3840,73,1665,5395,2001,7064,2137,1972,7064,3.53,1989,1983,1986,1883,1695,827,1228,1855,1530
09,2,0001,0237,000,7093,3727,3366,6074,5795,5487,1081,1298,5064,731,11.13,3962,2102,3847,115,1881,5209,2047,7093,2282,2042,7093,3.47,2044,2042,2041,1910,1674,882,1202,1879,1511
09,2,0001,0256,000,4894,2627,2267,4236,4024,3806,804,868,3470,554,11.67,2563,1669,2508,55,1202,3690,1424,4878,1548,1322,4878,3.43,1423,1420,1423,1374,1251,704,949,1322,1116
09,2,0001,0260,000,5027,2655,2372,4437,4267,4060,990,754,3567,700,11.38,2740,1691,2658,82,1009,4011,1370,5027,1479,1365,5027,3.67,1369,1365,1369,1341,1213,561,852,1225,1062
09,2,0001,0275,000,7063,3650,3413,6150,5883,5606,1179,1180,5132,751,10.81,3833,2305,3714,119,1513,5548,1876,7046,1993,1876,7046,3.76,1874,1875,1874,1784,1632,826,1144,1701,1452
09,2,0001,028A,000,3133,1660,1473,2840,2751,2635,742,380,2226,525,12.72,1769,1060,1710,59,618,2505,1004,3133,1071,987,3133,3.12,999,999,999,982,912,614,700,925,815
09,2,0001,0294,000,6122,3238,2884,5361,5169,4950,1135,953,4356,813,11.95,3585,1772,3495,90,1216,4906,1983,6107,2192,1982,6107,3.08,1981,1981,1981,1933,1748,956,1356,1815,1616
09,2,0001,0307,000,5718,2984,2734,5013,4809,4557,1052,909,4083,726,11.28,3176,1832,3097,79,1077,4639,1663,5718,1734,1627,5718,3.44,1659,1659,1659,1591,1389,643,1037,1495,1282
09,2,0001,0311,000,3817,2058,1759,3354,3218,3077,772,599,2679,539,11.9,2185,1163,2115,70,939,2875,1203,3790,1307,1173,3790,3.15,1202,1197,1202,1154,992,486,728,1100,941
09,2,0001,0326,000,8373,4326,4047,7273,6966,6627,1113,1407,6288,678,12.65,4935,2333,4772,163,1500,6871,2774,8352,3080,2655,8352,3.01,2768,2765,2768,2721,2509,1377,2012,2659,2391
09,2,0001,0330,000,2352,1232,1120,1967,1863,1785,403,489,1595,268,10.83,1232,731,1198,34,497,1854,606,2242,672,553,2242,3.7,606,601,606,571,500,245,376,542,448
09,2,0001,0345,000,4283,2372,1911,3778,3611,3444,946,671,2878,733,11.57,2203,1571,2165,38,886,3395,1256,3993,1365,1204,3993,3.18,1252,1251,1252,1200,1084,582,815,1150,956
09,2,0001,035A,000,6325,3250,3075,5466,5203,4924,825,1122,4670,533,11.85,3555,1908,3462,93,1271,5050,1891,6324,2149,1741,6324,3.34,1891,1890,1891,1859,1708,970,1295,1754,1558
09,2,0001,0364,000,3407,1877,1530,3029,2901,2765,717,506,2370,531,11.41,1822,1202,1758,64,722,2685,914,3407,1004,896,3407,3.73,912,913,914,869,775,380,530,840,719
09,2,0001,0379,000,4525,2401,2124,3865,3694,3527,976,695,3005,689,11.54,2289,1571,2207,82,867,3520,1337,4525,1490,1321,4525,3.38,1291,1290,1291,1226,1066,553,760,1187,1031
09,2,0001,0383,000,4040,2141,1899,3538,3403,3252,836,637,2804,599,11.68,2259,1276,2168,91,896,3140,1228,4038,1349,1227,4038,3.29,1226,1225,1224,1173,1005,543,761,1128,941
09,2,0001,0398,000,4230,2215,2015,3691,3538,3388,843,692,2939,599,11.6,2417,1272,2331,86,1023,3207,1351,4225,1552,1348,4225,3.13,1349,1348,1348,1264,1074,497,740,1249,981
09,2,0001,0400,000,3953,2076,1877,3503,3365,3205,818,586,2820,545,11.79,2236,1263,2183,53,914,3037,1231,3953,1382,1174,3953,3.21,1227,1227,1227,1149,969,514,758,1124,923
09,2,0001,0415,000,4165,2219,1946,3700,3551,3387,917,614,2889,662,12.36,2281,1407,2228,53,869,3293,1297,4165,1493,1258,4165,3.21,1292,1290,1292,1239,1109,585,818,1186,1022
09,2,0001,0434,000,2831,1517,1314,2571,2492,2422,791,339,1909,583,12.73,1460,1106,1433,27,471,2360,964,2827,1038,964,2827,2.93,962,962,962,942,890,620,726,891,820
09,2,0001,0449,000,2939,1579,1360,2577,2484,2377,701,455,1990,494,12.27,1433,1138,1372,61,572,2366,818,2935,905,816,2935,3.59,812,809,811,795,727,536,583,767,687
09,2,0001,0468,000,4552,2374,2178,4050,3906,3749,790,646,3352,554,12.6,2808,1231,2759,49,994,3554,1656,4551,1847,1393,4551,2.75,1641,1647,1650,1586,1393,713,1161,1522,1359
09,2,0001,0472,000,6574,3521,3053,5831,5592,5364,1181,982,4776,816,13.06,3735,2093,3677,58,1021,5551,2345,6574,2712,2182,6574,2.8,2341,2341,2341,2303,2122,1455,1815,2226,2032
09,2,0001,0487,000,4207,2271,1936,3709,3557,3414,836,650,2975,582,11.62,2338,1366,2281,57,1049,3154,1313,4207,1423,1277,4207,3.2,1307,1308,1306,1223,1043,534,772,1200,988
09,2,0001,0491,000,6312,3307,3005,5604,5394,5173,1260,918,4489,905,12.19,3520,2081,3419,101,1324,4988,1914,6312,2080,1895,6312,3.3,1913,1882,1910,1837,1684,1057,1321,1797,1574
09,2,0001,0504,000,4754,2530,2224,4257,4140,3984,1049,614,3399,741,13.56,2666,1584,2575,91,851,3903,1532,4754,1670,1484,4754,3.1,1530,1530,1530,1502,1370,968,1176,1444,1309
09,2,0001,0519,000,2409,1294,1115,2115,2024,1935,490,385,1665,359,12.64,1249,861,1215,34,471,1935,793,2409,904,785,2409,3.04,793,793,793,766,694,392,503,735,623
09,2,0001,0542,000,6915,3582,3333,5821,5576,5325,824,1339,5004,572,13.24,4026,1792,3952,74,1444,5468,2317,6873,2626,2278,6873,2.97,2314,2305,2314,2261,2087,1492,1779,2229,2036
09,2,0001,0557,000,4475,2344,2131,3903,3739,3553,873,736,3095,644,11.51,2550,1352,2463,87,1117,3358,1396,4475,1606,1395,4475,3.21,1396,1395,1396,1321,1139,588,792,1273,1012
09,2,0001,0561,000,3454,1833,1621,2971,2837,2703,658,617,2382,455,11.47,1870,1098,1831,39,742,2711,1044,3454,1238,1043,3454,3.31,1042,1041,1042,971,840,403,582,919,751
09,2,0001,0576,000,3168,1656,1512,2762,2646,2530,603,522,2239,407,11.36,1823,936,1789,34,733,2434,946,3168,1090,941,3168,3.35,945,945,945,876,773,359,510,851,667
09,2,0001,0580,000,4220,2201,2019,3650,3498,3309,757,722,2975,523,11.29,2344,1299,2291,53,794,3425,1222,4210,1443,1214,4210,3.45,1219,1219,1216,1156,990,424,703,1095,901
09,2,0001,0595,000,5116,2645,2471,4290,4071,3858,765,1045,3549,522,10.59,2833,1449,2763,70,1324,3792,1480,5116,1592,1479,5116,3.46,1473,1473,1473,1353,1145,557,709,1350,992
09,2,0001,0608,000,5135,2682,2453,4347,4114,3877,687,1021,3637,477,10.35,2948,1396,2901,47,1351,3784,1500,5135,1837,1499,5135,3.42,1497,1498,1498,1344,1109,465,694,1317,938
09,2,0001,0612,000,4333,2234,2099,3678,3477,3274,613,856,3052,425,10.65,2415,1251,2365,50,1105,3226,1253,4333,1481,1252,4333,3.46,1252,1252,1252,1144,1000,411,601,1131,809
09,2,0001,0627,000,4912,2487,2425,4168,3972,3755,705,940,3485,487,10.01,2710,1454,2654,56,1270,3642,1545,4912,1750,1545,4912,3.18,1543,1544,1537,1345,1157,488,694,1393,937
09,2,0001,0631,000,5263,2770,2493,4580,4374,4171,1066,888,3616,758,11.75,2681,1896,2598,83,1340,3919,1449,5263,1519,1421,5263,3.63,1444,1444,1444,1400,1302,851,940,1347,1156
09,2,0001,0650,000,6499,3407,3092,5514,5276,5021,1186,1121,4482,794,10.65,3351,2159,3239,112,1542,4854,1815,6498,1953,1790,6498,3.58,1785,1782,1783,1694,1477,614,936,1595,1281
09,2,0001,0665,000,7747,4019,3728,6726,6399,6087,1280,1348,5532,867,11.39,4420,2300,4307,113,1716,6026,2406,7715,2692,2402,7715,3.21,2405,2401,2399,2274,1972,908,1407,2220,1774
09,2,0001,067A,000,6226,3255,2971,5485,5286,5078,1070,940,4584,702,12.98,3595,1886,3516,79,1105,5119,2087,6193,2450,2086,6193,2.97,2080,2080,2079,2048,1895,1218,1545,1992,1785
09,2,0001,0684,000,3991,2156,1835,3575,3453,3335,910,538,2818,635,13.34,2118,1453,2066,52,826,3162,1393,3980,1634,1390,3980,2.86,1387,1388,1388,1365,1255,869,1034,1309,1192
